id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
6588;30438;4;05/10/2021 18:46;05/10/2021 18:48;2;05/10/2021 18:46;NULL;05/10/2021 18:46;05/10/2021 18:48
6589;184;44;05/10/2021 18:48;05/10/2021 18:48;1;05/10/2021 18:48;NULL;05/10/2021 18:48;05/10/2021 18:48
6590;5810;200;05/10/2021 18:52;05/10/2021 20:49;5;05/10/2021 18:52;NULL;05/10/2021 18:52;05/10/2021 20:49
6591;27166;2968;05/10/2021 18:53;05/10/2021 18:53;1;05/10/2021 18:53;NULL;05/10/2021 18:53;05/10/2021 18:53
6592;28577;93;05/10/2021 19:01;05/10/2021 19:01;1;05/10/2021 19:01;NULL;05/10/2021 19:01;05/10/2021 19:01
6593;23169;4;05/10/2021 19:09;05/10/2021 20:23;2;05/10/2021 19:09;NULL;05/10/2021 19:09;05/10/2021 20:23
6594;16846;143;05/10/2021 19:59;05/10/2021 19:59;1;05/10/2021 19:59;NULL;05/10/2021 19:59;05/10/2021 19:59
6595;23169;96;05/10/2021 21:51;05/10/2021 21:51;1;05/10/2021 21:51;NULL;05/10/2021 21:51;05/10/2021 21:51
6596;80;18;05/10/2021 21:59;05/10/2021 21:59;1;05/10/2021 21:59;NULL;05/10/2021 21:59;05/10/2021 21:59
6597;19662;39;05/10/2021 22:39;05/10/2021 22:39;1;05/10/2021 22:39;NULL;05/10/2021 22:39;05/10/2021 22:39
6598;13836;95;05/10/2021 22:58;05/10/2021 22:58;1;05/10/2021 22:58;NULL;05/10/2021 22:58;05/10/2021 22:58
6599;9358;1036;06/10/2021 13:34;06/10/2021 13:34;2;06/10/2021 13:34;NULL;06/10/2021 13:34;06/10/2021 13:34
6600;4926;18;06/10/2021 14:10;06/10/2021 14:10;2;06/10/2021 14:10;NULL;06/10/2021 14:10;06/10/2021 14:10
6601;5752;18;06/10/2021 14:10;06/10/2021 14:15;2;06/10/2021 14:10;NULL;06/10/2021 14:10;06/10/2021 14:15
6602;790;18;06/10/2021 14:36;06/10/2021 14:36;1;06/10/2021 14:36;NULL;06/10/2021 14:36;06/10/2021 14:36
6603;5515;1036;06/10/2021 14:40;06/10/2021 14:40;1;06/10/2021 14:40;NULL;06/10/2021 14:40;06/10/2021 14:40
6604;28158;920;06/10/2021 15:01;06/10/2021 15:01;1;06/10/2021 15:01;NULL;06/10/2021 15:01;06/10/2021 15:01
6605;26024;4;06/10/2021 16:19;06/10/2021 16:19;1;06/10/2021 16:19;NULL;06/10/2021 16:19;06/10/2021 16:19
6606;28332;380;06/10/2021 16:37;06/10/2021 16:38;2;06/10/2021 16:37;NULL;06/10/2021 16:37;06/10/2021 16:38
6607;28004;380;06/10/2021 16:38;06/10/2021 16:38;1;06/10/2021 16:38;NULL;06/10/2021 16:38;06/10/2021 16:38
6608;7300;1036;06/10/2021 17:13;06/10/2021 17:39;2;06/10/2021 17:13;NULL;06/10/2021 17:13;06/10/2021 17:39
6609;16140;1036;06/10/2021 17:16;06/10/2021 17:38;2;06/10/2021 17:17;NULL;06/10/2021 17:16;06/10/2021 17:38
6610;13175;1036;06/10/2021 17:18;06/10/2021 17:27;3;06/10/2021 17:18;NULL;06/10/2021 17:18;06/10/2021 17:27
6611;25414;380;06/10/2021 17:20;06/10/2021 17:20;1;06/10/2021 17:20;NULL;06/10/2021 17:20;06/10/2021 17:20
6612;5119;4;06/10/2021 17:25;06/10/2021 18:00;3;06/10/2021 17:25;NULL;06/10/2021 17:25;06/10/2021 18:00
6613;29245;380;06/10/2021 17:26;06/10/2021 17:26;1;06/10/2021 17:26;NULL;06/10/2021 17:26;06/10/2021 17:26
6614;7138;257;06/10/2021 17:28;06/10/2021 17:28;1;06/10/2021 17:28;NULL;06/10/2021 17:28;06/10/2021 17:28
6615;28883;154;06/10/2021 17:32;06/10/2021 17:32;1;06/10/2021 17:32;NULL;06/10/2021 17:32;06/10/2021 17:32
6616;5810;4;06/10/2021 17:35;06/10/2021 17:35;1;06/10/2021 17:35;NULL;06/10/2021 17:35;06/10/2021 17:35
6617;20106;4;06/10/2021 17:36;06/10/2021 19:39;3;06/10/2021 17:36;NULL;06/10/2021 17:36;06/10/2021 19:39
6618;9207;4020;06/10/2021 17:52;06/10/2021 17:52;4;06/10/2021 17:52;NULL;06/10/2021 17:52;06/10/2021 17:52
6619;30461;503;06/10/2021 17:56;06/10/2021 17:56;1;06/10/2021 17:56;NULL;06/10/2021 17:56;06/10/2021 17:56
6620;28310;4;06/10/2021 18:25;06/10/2021 18:48;2;06/10/2021 18:25;NULL;06/10/2021 18:25;06/10/2021 18:48
6621;16361;18;06/10/2021 18:28;06/10/2021 18:28;1;06/10/2021 18:28;NULL;06/10/2021 18:28;06/10/2021 18:28
6622;10083;57;06/10/2021 18:30;06/10/2021 18:30;1;06/10/2021 18:30;NULL;06/10/2021 18:30;06/10/2021 18:30
6623;29514;2183;06/10/2021 19:01;06/10/2021 19:01;2;06/10/2021 19:01;NULL;06/10/2021 19:01;06/10/2021 19:01
6624;28492;201;06/10/2021 19:03;06/10/2021 19:03;1;06/10/2021 19:03;NULL;06/10/2021 19:03;06/10/2021 19:03
6625;13496;1570;06/10/2021 19:09;06/10/2021 19:09;1;06/10/2021 19:09;NULL;06/10/2021 19:09;06/10/2021 19:09
6626;30438;38;06/10/2021 19:35;06/10/2021 19:35;1;06/10/2021 19:35;NULL;06/10/2021 19:35;06/10/2021 19:35
6627;5119;65;06/10/2021 19:51;06/10/2021 19:51;1;06/10/2021 19:51;NULL;06/10/2021 19:51;06/10/2021 19:51
6628;30523;2020;06/10/2021 19:56;06/10/2021 19:56;1;06/10/2021 19:56;NULL;06/10/2021 19:56;06/10/2021 19:56
6629;9719;3;06/10/2021 20:06;06/10/2021 20:06;2;06/10/2021 20:06;NULL;06/10/2021 20:06;06/10/2021 20:06
6630;28883;79;06/10/2021 21:25;06/10/2021 22:58;4;06/10/2021 21:25;NULL;06/10/2021 21:25;06/10/2021 22:58
6631;15312;54;06/10/2021 21:33;06/10/2021 21:33;2;06/10/2021 21:33;NULL;06/10/2021 21:33;06/10/2021 21:33
6632;29935;4;06/10/2021 21:35;06/10/2021 21:46;4;06/10/2021 21:35;NULL;06/10/2021 21:35;06/10/2021 21:46
6633;26578;4;06/10/2021 21:35;06/10/2021 21:41;2;06/10/2021 21:35;NULL;06/10/2021 21:35;06/10/2021 21:41
6634;22152;4;06/10/2021 21:35;06/10/2021 21:35;1;06/10/2021 21:35;NULL;06/10/2021 21:35;06/10/2021 21:35
6635;29945;4;06/10/2021 21:35;06/10/2021 21:35;2;06/10/2021 21:35;NULL;06/10/2021 21:35;06/10/2021 21:35
6636;16439;4;06/10/2021 21:36;06/10/2021 21:49;3;06/10/2021 21:36;NULL;06/10/2021 21:36;06/10/2021 21:49
6637;6911;4;06/10/2021 21:37;06/10/2021 22:54;4;06/10/2021 21:37;NULL;06/10/2021 21:37;06/10/2021 22:54
6638;25736;4;06/10/2021 21:38;06/10/2021 21:43;2;06/10/2021 21:38;NULL;06/10/2021 21:38;06/10/2021 21:43
6639;14950;4;06/10/2021 21:40;06/10/2021 22:08;5;06/10/2021 21:40;NULL;06/10/2021 21:40;06/10/2021 22:08
6640;24137;4;06/10/2021 21:41;06/10/2021 21:41;1;06/10/2021 21:41;NULL;06/10/2021 21:41;06/10/2021 21:41
6641;3338;97;06/10/2021 21:58;06/10/2021 21:58;1;06/10/2021 21:58;NULL;06/10/2021 21:58;06/10/2021 21:58
6642;30529;97;06/10/2021 22:10;06/10/2021 22:14;3;06/10/2021 22:10;NULL;06/10/2021 22:10;06/10/2021 22:14
6643;30531;97;07/10/2021 00:57;07/10/2021 00:57;1;07/10/2021 00:57;NULL;07/10/2021 00:57;07/10/2021 00:57
